time,node_type,node_id,xt_0,xt_1,xt_2,xt_3,xb_0,xb_1,xb_2
0,Node1,0,3.926,0.605,0.609,2.807,0,0,0
0,Node1,1,0.97,0.059,0.059,0.755,0,0,0
0,Node1,2,1.674,0.156,0.156,1.499,0,0,0
0,Node1,3,4.278,0.57,0.569,2.686,0,0,0
0,Node1,4,2.244,0.128,0.128,1.826,0,0,0
0,Node1,5,1.225,0.165,0.165,1.116,0,0,0
0,Node1,6,1.642,0.023,0.023,0.903,0,0,0
0,Node1,7,3.613,0.188,0.188,2.983,0,0,0
0,Node1,8,2.871,0.099,0.099,1.553,0,0,0
0,Node1,9,1.65,0.492,0.494,1.516,0,0,0
0,Node1,10,3.339,1.637,1.636,3.044,0,0,0
0,Node1,11,2.714,0.618,0.622,2.158,0,0,0
0,Node1,12,2.174,0.201,0.202,1.904,0,0,0
0,Node1,13,1.56,0.169,0.168,1.301,0,0,0
0,Node1,14,2.356,0.81,0.812,1.79,0,0,0
0,Node1,15,2.642,0.141,0.14,2.017,0,0,0
0,Node1,16,2.957,0.429,0.432,1.991,0,0,0
0,Node1,17,3.421,0.108,0.109,2.624,0,0,0
0,Node1,18,3.373,0.454,0.453,2.61,0,0,0
0,Node1,19,1.839,0.732,0.735,1.111,0,0,0
0,Node1,20,3.813,0.072,0.072,2.219,0,0,0
0,Node1,21,2.657,0.133,0.133,2.112,0,0,0
0,Node1,22,1.569,0.203,0.203,0.815,0,0,0
0,Node1,23,2.15,0.025,0.025,1.237,0,0,0
0,Node1,24,2.071,0.027,0.027,1.28,0,0,0
0,Node1,25,2.342,0.24,0.239,1.278,0,0,0
0,Node1,26,1.974,0.494,0.494,1.432,0,0,0
0,Node1,27,0.636,0.067,0.067,0.363,0,0,0
0,Node1,28,1.149,0.092,0.093,0.611,0,0,0
0,Node1,29,1.488,0.118,0.118,0.862,0,0,0
0,Node2,0,0.138,0.209,0.003,0.003,0,0,0
0,Node2,1,0.148,0.228,0.32,0.319,0,0,0
0,Node2,2,0.127,0.185,0.018,0.018,0,0,0
0,Node2,3,0.157,0.218,0.002,0.002,0,0,0
0,Node2,4,0.148,0.225,0.006,0.007,0,0,0
0,Node2,5,0.092,0.117,0.001,0.001,0,0,0
0,Node2,6,0.142,0.16,0.023,0.023,0,0,0
0,Node2,7,0.157,0.216,0.135,0.135,0,0,0
0,Node2,8,0.151,0.204,0.06,0.06,0,0,0
0,Node2,9,0.166,0.238,0.029,0.03,0,0,0
0,Node2,10,0.131,0.175,0.134,0.133,0,0,0
0,Node2,11,0.149,0.2,0.025,0.025,0,0,0
0,Node2,12,0.101,0.116,0.012,0.012,0,0,0
0,Node2,13,0.113,0.141,0.008,0.008,0,0,0
0,Node2,14,0.166,0.197,0.024,0.024,0,0,0
0,Node2,15,0.161,0.242,0.005,0.005,0,0,0
0,Node2,16,0.163,0.235,0.006,0.006,0,0,0
0,Node2,17,0.124,0.194,0.0,0.0,0,0,0
0,Node2,18,0.103,0.138,0.025,0.025,0,0,0
0,Node2,19,0.192,0.265,0.007,0.007,0,0,0
0,Node2,20,0.178,0.124,0.001,0.001,0,0,0
0,Node2,21,0.153,0.222,0.044,0.044,0,0,0
0,Node2,22,0.151,0.207,0.002,0.002,0,0,0
0,Node2,23,0.157,0.176,0.006,0.006,0,0,0
0,Node2,24,0.175,0.228,0.007,0.007,0,0,0
0,Node2,25,0.171,0.217,0.101,0.101,0,0,0
0,Node2,26,0.199,0.212,0.071,0.071,0,0,0
0,Node2,27,0.156,0.21,0.123,0.122,0,0,0
0,Node2,28,0.128,0.218,0.201,0.201,0,0,0
0,Node2,29,0.142,0.167,0.015,0.015,0,0,0
0,Node2,30,0.167,0.17,0.016,0.016,0,0,0
0,Node2,31,0.198,0.221,0.011,0.011,0,0,0
0,Node2,32,0.21,0.199,0.028,0.029,0,0,0
0,Node2,33,0.139,0.165,0.04,0.039,0,0,0
0,Node2,34,0.139,0.204,0.017,0.017,0,0,0
0,Node2,35,0.129,0.179,0.021,0.022,0,0,0
0,Node2,36,0.169,0.244,0.002,0.002,0,0,0
0,Node2,37,0.222,0.267,0.025,0.025,0,0,0
0,Node2,38,0.162,0.429,0.042,0.042,0,0,0
0,Node2,39,0.146,0.2,0.029,0.029,0,0,0
0,Node2,40,0.132,0.236,0.009,0.01,0,0,0
0,Node2,41,0.159,0.206,0.046,0.047,0,0,0
0,Node2,42,0.137,0.189,0.016,0.016,0,0,0
0,Node2,43,0.129,0.161,0.044,0.044,0,0,0
1,Node1,0,3.9,3.642,4.224,2.793,0,0,0
1,Node1,1,0.97,0.154,0.213,0.755,0,0,0
1,Node1,2,1.684,0.453,0.61,1.492,0,0,0
1,Node1,3,4.249,0.166,0.734,2.695,0,0,0
1,Node1,4,2.254,3.664,3.776,1.822,0,0,0
1,Node1,5,1.223,0.101,0.265,1.113,0,0,0
1,Node1,6,1.648,0.03,0.053,0.898,0,0,0
1,Node1,7,3.611,0.297,0.487,2.967,0,0,0
1,Node1,8,2.882,0.572,0.669,1.549,0,0,0
1,Node1,9,1.658,0.177,0.671,1.519,0,0,0
1,Node1,10,3.325,0.27,1.908,3.04,0,0,0
1,Node1,11,2.73,0.421,1.035,2.158,0,0,0
1,Node1,12,2.163,0.632,0.838,1.893,0,0,0
1,Node1,13,1.557,0.269,0.438,1.29,0,0,0
1,Node1,14,2.356,0.007,0.824,1.781,0,0,0
1,Node1,15,2.647,0.119,0.259,2.031,0,0,0
1,Node1,16,2.964,0.017,0.45,1.999,0,0,0
1,Node1,17,3.431,0.485,0.598,2.614,0,0,0
1,Node1,18,3.376,1.858,2.309,2.606,0,0,0
1,Node1,19,1.842,2.061,2.814,1.111,0,0,0
1,Node1,20,3.808,0.535,0.61,2.212,0,0,0
1,Node1,21,2.661,0.309,0.443,2.122,0,0,0
1,Node1,22,1.575,0.089,0.291,0.811,0,0,0
1,Node1,23,2.134,0.121,0.147,1.236,0,0,0
1,Node1,24,2.065,0.019,0.047,1.271,0,0,0
1,Node1,25,2.324,0.04,0.279,1.287,0,0,0
1,Node1,26,1.983,0.734,1.223,1.433,0,0,0
1,Node1,27,0.637,0.053,0.12,0.363,0,0,0
1,Node1,28,1.154,0.036,0.129,0.612,0,0,0
1,Node1,29,1.489,0.106,0.224,0.857,0,0,0
1,Node2,0,0.138,0.21,0.012,0.015,0,0,0
1,Node2,1,0.148,0.228,0.022,0.343,0,0,0
1,Node2,2,0.126,0.184,0.022,0.04,0,0,0
1,Node2,3,0.157,0.219,0.009,0.011,0,0,0
1,Node2,4,0.147,0.226,0.064,0.07,0,0,0
1,Node2,5,0.092,0.117,0.025,0.026,0,0,0
1,Node2,6,0.142,0.16,0.046,0.069,0,0,0
1,Node2,7,0.157,0.217,0.038,0.173,0,0,0
1,Node2,8,0.15,0.205,0.052,0.112,0,0,0
1,Node2,9,0.167,0.239,0.03,0.059,0,0,0
1,Node2,10,0.131,0.176,0.043,0.176,0,0,0
1,Node2,11,0.149,0.2,0.045,0.071,0,0,0
1,Node2,12,0.1,0.117,0.014,0.025,0,0,0
1,Node2,13,0.113,0.14,0.002,0.011,0,0,0
1,Node2,14,0.166,0.198,0.039,0.063,0,0,0
1,Node2,15,0.161,0.242,0.04,0.045,0,0,0
1,Node2,16,0.164,0.234,0.164,0.17,0,0,0
1,Node2,17,0.124,0.193,0.03,0.031,0,0,0
1,Node2,18,0.103,0.139,0.025,0.05,0,0,0
1,Node2,19,0.192,0.264,0.01,0.017,0,0,0
1,Node2,20,0.177,0.125,0.062,0.063,0,0,0
1,Node2,21,0.152,0.223,0.012,0.056,0,0,0
1,Node2,22,0.15,0.207,0.007,0.009,0,0,0
1,Node2,23,0.157,0.176,0.013,0.019,0,0,0
1,Node2,24,0.175,0.23,0.072,0.079,0,0,0
1,Node2,25,0.171,0.217,0.048,0.149,0,0,0
1,Node2,26,0.198,0.215,0.056,0.128,0,0,0
1,Node2,27,0.156,0.21,0.017,0.14,0,0,0
1,Node2,28,0.128,0.218,0.007,0.208,0,0,0
1,Node2,29,0.143,0.166,0.03,0.045,0,0,0
1,Node2,30,0.169,0.17,0.011,0.027,0,0,0
1,Node2,31,0.199,0.221,0.0,0.011,0,0,0
1,Node2,32,0.21,0.2,0.046,0.074,0,0,0
1,Node2,33,0.14,0.164,0.014,0.054,0,0,0
1,Node2,34,0.139,0.203,0.223,0.24,0,0,0
1,Node2,35,0.129,0.178,0.012,0.034,0,0,0
1,Node2,36,0.169,0.243,0.219,0.223,0,0,0
1,Node2,37,0.222,0.269,0.001,0.026,0,0,0
1,Node2,38,0.162,0.428,0.02,0.062,0,0,0
1,Node2,39,0.145,0.2,0.006,0.035,0,0,0
1,Node2,40,0.132,0.236,0.074,0.083,0,0,0
1,Node2,41,0.159,0.205,0.045,0.092,0,0,0
1,Node2,42,0.137,0.188,0.065,0.08,0,0,0
1,Node2,43,0.13,0.16,0.012,0.056,0,0,0
2,Node1,0,3.913,0.437,4.675,2.811,0,0,0
2,Node1,1,0.969,0.267,0.48,0.754,0,0,0
2,Node1,2,1.686,0.306,0.919,1.499,0,0,0
2,Node1,3,4.24,0.57,1.31,2.679,0,0,0
2,Node1,4,2.264,0.206,3.967,1.818,0,0,0
2,Node1,5,1.229,0.17,0.435,1.119,0,0,0
2,Node1,6,1.651,0.242,0.298,0.9,0,0,0
2,Node1,7,3.607,0.381,0.865,2.967,0,0,0
2,Node1,8,2.879,0.193,0.868,1.553,0,0,0
